標題,內文摘要,圖片網址,文章網址,來源摘要,時間
羅伯派汀森南韓宣傳《米奇17號》掀暴動 合體奉俊昊萌比愛心,好萊塢男星羅伯派汀森（Robert Pattinson）近日到南韓宣傳新片《米奇17號》，首次到南韓的他吸引大批影迷到機場接機。20日他也和導演奉俊昊合體亮相，記者會上他入境隨俗，親切地和導演合比愛心，並一同分享拍攝本片的點滴。,https://s.yimg.com/uu/api/res/1.2/xkoSXamFZtsvitVl80IDhA--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://s.yimg.com/os/creatr-uploaded-images/2025-01/b0641ac0-d7ce-11ef-bde7-0b7066c74a17,https://tw.news.yahoo.com//%E7%BE%85%E4%BC%AF%E6%B4%BE%E6%B1%80%E6%A3%AE%E5%8D%97%E9%9F%93%E5%AE%A3%E5%82%B3%E3%80%8A%E7%B1%B3%E5%A5%8717%E8%99%9F%E3%80%8B%E6%8E%80%E6%9A%B4%E5%8B%95-%E5%90%88%E9%AB%94%E5%A5%89%E4%BF%8A%E6%98%8A%E8%90%8C%E6%AF%94%E6%84%9B%E5%BF%83-081351303.html,Yahoo奇摩新聞（記者 許瑞麟）,29 分鐘前
媽媽70歲開趴！蔡依林罕曝「三姊妹合照」虧：她很會生,媽媽70歲開趴！蔡依林罕曝「三姊妹合照」虧：她很會生,https://s.yimg.com/uu/api/res/1.2/5JBbLEhNCZ.X8hAsYPUYag--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/zh-tw/ebc.net.tw/c24c40d5020ea61f8adeb155c6dd1bd3,https://tw.news.yahoo.com//%E5%AA%BD%E5%AA%BD70%E6%AD%B2%E9%96%8B%E8%B6%B4-%E8%94%A1%E4%BE%9D%E6%9E%97%E7%BD%95%E6%9B%9D-%E4%B8%89%E5%A7%8A%E5%A6%B9%E5%90%88%E7%85%A7-%E8%99%A7-%E5%A5%B9%E5%BE%88%E6%9C%83%E7%94%9F-081300661.html,EBC東森新聞,30 分鐘前
蹦闆《拳上》後豪捐50萬！撇「刺青當8+9」心酸故事曝,娛樂中心／李明融報導網紅「蹦闆」（呂育銓）從事精品代購起家，近年跨行轉戰當YouTuber，日前上中天綜合台《小明星大跟班》分享他的過往經歷，除了透露在12月21日和統神打完拳賽之後，就向各大基金會捐出50萬，仍遭大批網友狂酸是在買「贖罪券」，他也分享自己身上刺青背後故事，同時也給人留下深刻印象，「我出來做自媒體後，很多人就會把這些人的標籤放在我身上，但我沒做過『8+9』的事」。,https://s.yimg.com/uu/api/res/1.2/yZWmHmn7IAnzSQubIO5lJQ--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/ko/ftvn.com.tw/011b803bce2d1e696ff5c3dd057641c6,https://tw.news.yahoo.com//%E8%B9%A6%E9%97%86-%E6%8B%B3%E4%B8%8A-%E5%BE%8C%E8%B1%AA%E6%8D%9050%E8%90%AC-%E6%92%87-%E5%88%BA%E9%9D%92%E7%95%B68-081109975.html,民視,32 分鐘前
《單身即地獄4》剛開播就出事！女嘉賓爆違約被起訴,《單身即地獄4》剛開播就出事！女嘉賓爆違約被起訴,https://s.yimg.com/uu/api/res/1.2/u9FLlWLRwhDh_X0NA0lvGw--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/ko/ebc.net.tw/372caf3891c5201303c358443d182178,https://tw.news.yahoo.com//%E5%96%AE%E8%BA%AB%E5%8D%B3%E5%9C%B0%E7%8D%844-%E5%89%9B%E9%96%8B%E6%92%AD%E5%B0%B1%E5%87%BA%E4%BA%8B-%E5%A5%B3%E5%98%89%E8%B3%93%E7%88%86%E9%81%95%E7%B4%84%E8%A2%AB%E8%B5%B7%E8%A8%B4-081100913.html,EBC東森新聞,32 分鐘前
影／坂口健太郎&金秀賢現身！　 PRADA　米蘭男裝秀　網暴動！,[FTNN新聞網]影音中心／朱瑪琳近日各大品牌相繼舉辦著2025秋冬時裝秀，許多藝人前去共襄盛舉，其中韓劇男神金秀賢與日星坂口健太郎，兩位受到時尚品牌PRADA的...,https://s.yimg.com/uu/api/res/1.2/N.2NrOw5B6TBu1fJjQ5M7w--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ftnn_com_tw_939/94af3eb215886800e9b0eacec0d679f5,https://tw.news.yahoo.com//%E5%BD%B1-%E5%9D%82%E5%8F%A3%E5%81%A5%E5%A4%AA%E9%83%8E-%E9%87%91%E7%A7%80%E8%B3%A2%E7%8F%BE%E8%BA%AB-prada-%E7%B1%B3%E8%98%AD%E7%94%B7%E8%A3%9D%E7%A7%80-081100809.html,FTNN新聞網,32 分鐘前
李吳兄弟曝感情現況　二哥大方自招有曖昧對象,來自宜蘭的「李吳兄弟」，今（21日）趁農曆春節前夕受訪，搶先為新單曲《真的沒什麼》預熱，並期許今年能召開專場演唱會。三兄弟聊起過年，透露今年已買好年菜，不想讓媽媽太忙，至於會不會被催婚？三人透露一切隨緣，但都不排斥閃婚甚至是先有後婚，二哥吳邦葳還自招有一位認識長達一年的心儀對象，問起他為何沒行動？他羞說：「還在友達以上戀人未滿的狀態。」也期許新的一年有望更進一步。,https://s.yimg.com/uu/api/res/1.2/QEorX8THd_wlG27YmIG2gQ--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/ko/mnews_tw_258/94093ce831d97ffd634f24d38af0b23e,https://tw.news.yahoo.com//%E6%9D%8E%E5%90%B3%E5%85%84%E5%BC%9F%E6%9B%9D%E6%84%9F%E6%83%85%E7%8F%BE%E6%B3%81-%E4%BA%8C%E5%93%A5%E5%A4%A7%E6%96%B9%E8%87%AA%E6%8B%9B%E6%9C%89%E6%9B%96%E6%98%A7%E5%B0%8D%E8%B1%A1-081010724.html,鏡新聞,33 分鐘前
「沒人能強迫他結婚！」作家李怡遺產糾紛　遺孀邱近思狀告女兒：遺產一分沒少,《九十年代》雜誌創辦人、香港知名作家李怡2022年過世，遺孀邱近思去年出書曝光兩人已結婚，然而，李怡女兒質疑兩人婚姻合法性，...,https://s.yimg.com/uu/api/res/1.2/Dih4KlJibnmiRDWc8DDofg--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/ko/stormmediagroup.com/d0cfb62b2dafbaeefedc980e724f3f02,https://tw.news.yahoo.com//%E6%B2%92%E4%BA%BA%E8%83%BD%E5%BC%B7%E8%BF%AB%E4%BB%96%E7%B5%90%E5%A9%9A-%E4%BD%9C%E5%AE%B6%E6%9D%8E%E6%80%A1%E9%81%BA%E7%94%A2%E7%B3%BE%E7%B4%9B-%E9%81%BA%E5%AD%80%E9%82%B1%E8%BF%91%E6%80%9D%E7%8B%80%E5%91%8A%E5%A5%B3%E5%85%92-%E9%81%BA%E7%94%A2-%E5%88%86%E6%B2%92%E5%B0%91-081002639.html,風傳媒,33 分鐘前
具俊曄隊友昔遇車禍癱瘓！「妻認了想離婚」：多年來活在地獄,南韓團體「酷龍」成員具俊曄與大S結婚，昔日團體搭檔姜元來因在2000年11月發生嚴重車禍，因此下半身癱瘓，終生靠輪椅代步。日前姜元來妻子金鬆才在社群分享兩人戀情，有感而發表示戀愛泡泡退去後曾想過離婚，是透過宗教信仰才克服了離婚危機。林汝珊,https://s.yimg.com/uu/api/res/1.2/lfLQM76CJApn55zcK4_ONg--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/ko/setn.com.tw/bf05fbfdb1f6d8b551e0d5677176c533,https://tw.news.yahoo.com//%E5%85%B7%E4%BF%8A%E6%9B%84%E9%9A%8A%E5%8F%8B%E6%98%94%E9%81%87%E8%BB%8A%E7%A6%8D%E7%99%B1%E7%98%93-%E5%A6%BB%E8%AA%8D%E4%BA%86%E6%83%B3%E9%9B%A2%E5%A9%9A-%E5%A4%9A%E5%B9%B4%E4%BE%86%E6%B4%BB%E5%9C%A8%E5%9C%B0%E7%8D%84-080800740.html,三立新聞網 setn.com,35 分鐘前
六月、李易挺過「雙外遇風波」！命理師：2人未來還有很多考驗,藝人六月（蔡君茹）近日遭《鏡週刊》爆料曖昧色聊小20歲、身高188公分的鮮肉滑雪教練3年，據傳滑雪教練已有正牌女友，還曾被Dcard女網友爆料其偷吃成性，而六月本人不僅知情，還坦然接受。同時周刊也提及六月老公李易在去年6月經常發佈憂鬱的限時動態，六月一查之下竟然抓到李易跟外遇對象的親密照片，夫妻倆等同於「雙外遇」。事發後六月接受訪問時，透露原本預計2024年底要官宣離婚，但是被踢爆之後已決心要共同,https://s.yimg.com/uu/api/res/1.2/Prw0KLFm_njd.NPqyR.S_g--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/zh-tw/setn.com.tw/50a7ec1f51a5936a6ea09ac641e56ac9,https://tw.news.yahoo.com//%E5%85%AD%E6%9C%88-%E6%9D%8E%E6%98%93%E6%8C%BA%E9%81%8E-%E9%9B%99%E5%A4%96%E9%81%87%E9%A2%A8%E6%B3%A2-%E5%91%BD%E7%90%86%E5%B8%AB-2%E4%BA%BA%E6%9C%AA%E4%BE%86%E9%82%84%E6%9C%89%E5%BE%88%E5%A4%9A%E8%80%83%E9%A9%97-080700210.html,三立新聞網 setn.com,36 分鐘前
日本富士電視台醜聞延燒　前女主播曝遭高層強吻、逼看不雅照,日本男星中居正廣爆出性醜聞後，一名匿名女主播向《週刊文春》爆料，稱富士電視台曾安排她參加與中居的飯局，疑似遭到「性朝貢」。消息傳出後，儘管富士電視台社長出面澄清，但內容缺乏透明度，逾50企業仍陸續宣布撤廣告。一名網紅20日繼續揭發日本電視圈黑幕，稱過去有富士電視台相關製作公司高層對她性騷擾，還讓她看其他女星的不雅照，讓她嚇得花容失色。,https://s.yimg.com/uu/api/res/1.2/02GZZRGw0m2tRQYSDBjPyw--~B/Zmk9ZmlsbDtoPTEyODtweW9mZj0wO3c9MjIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/ko/news_tvbs_com_tw_938/415145e1cf9ad343ce580541bf544c83,https://tw.news.yahoo.com//%E6%97%A5%E6%9C%AC%E5%AF%8C%E5%A3%AB%E9%9B%BB%E8%A6%96%E5%8F%B0%E9%86%9C%E8%81%9E%E5%BB%B6%E7%87%92-%E5%89%8D%E5%A5%B3%E4%B8%BB%E6%92%AD%E6%9B%9D%E9%81%AD%E9%AB%98%E5%B1%A4%E5%BC%B7%E5%90%BB-%E9%80%BC%E7%9C%8B%E4%B8%8D%E9%9B%85%E7%85%A7-080634124.html,TVBS新聞網,37 分鐘前
